Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,12.925000,13.440000,12.830000,13.225000,6.315322,2051400
2010-01-08,13.210000,13.425000,12.760000,12.970000,6.193552,3230400
2010-01-15,12.825000,12.925000,12.100000,12.275000,5.861670,2044400
2010-01-22,11.965000,12.250000,11.750000,12.035000,5.747063,4593200
2010-01-29,12.205000,13.025000,12.000000,12.055000,5.756614,4348600
2010-02-05,12.040000,12.120000,11.075000,11.350000,5.419955,7423600
2010-02-12,10.750000,11.590000,10.710000,11.335000,5.412793,2386000
2010-02-19,11.350000,11.725000,10.925000,11.050000,5.276696,2212800
2010-02-26,11.075000,11.705000,10.940000,11.595000,5.536951,3143200
2010-03-05,11.850000,12.080000,11.580000,11.780000,5.625293,2463200
2010-03-12,11.900000,11.925000,11.450000,11.775000,5.622906,3009400
2010-03-19,11.560000,11.600000,10.755000,10.775000,5.145376,3156200
2010-03-26,10.775000,12.000000,10.700000,11.975000,5.718411,4089200
2010-04-02,11.975000,12.185000,11.780000,11.950000,5.706473,3160600
2010-04-09,12.050000,12.800000,11.950000,12.770000,6.098047,3440600
2010-04-16,12.510000,12.565000,11.620000,11.860000,5.663495,5521000
2010-04-23,11.860000,12.270000,11.500000,11.965000,5.713636,3244800
2010-04-30,11.895000,11.925000,9.850000,10.375000,4.954365,3205800
2010-05-07,10.185000,11.200000,9.650000,10.750000,5.260117,5207200
2010-05-14,10.575000,10.845000,9.500000,9.600000,4.697408,2513800
2010-05-21,9.420000,10.400000,9.000000,10.400000,5.088858,5662600
2010-05-28,10.150000,10.790000,10.025000,10.750000,5.260117,2334800
2010-06-04,10.355000,10.450000,9.775000,10.025000,4.905365,1886000
2010-06-11,9.830000,10.300000,9.780000,10.135000,4.959190,1888200
2010-06-18,10.250000,10.625000,9.875000,9.875000,4.831968,1967800
2010-06-25,9.815000,9.975000,9.160000,9.225000,4.513915,4665200
2010-07-02,9.465000,10.000000,9.420000,9.950000,4.868667,2256000
2010-07-09,9.870000,10.500000,9.830000,10.450000,5.113323,1318400
2010-07-16,10.350000,10.725000,10.050000,10.675000,5.223420,2058800
2010-07-23,10.605000,11.075000,10.525000,10.900000,5.333514,2157800
2010-07-30,10.675000,11.400000,10.595000,11.155000,5.458290,1184400
