Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,61.860001,62.700001,61.119999,61.610001,33.139805,7537700
2010-01-08,61.169998,62.540001,60.470001,60.959999,32.790169,7201400
2010-01-15,61.009998,61.639999,58.709999,59.139999,31.811203,5937400
2010-01-22,58.509998,58.790001,56.009998,56.419998,30.348131,6334500
2010-01-29,56.470001,57.389999,54.340000,54.419998,29.272329,7341100
2010-02-05,54.160000,55.770000,53.230000,55.430000,29.815611,9876100
2010-02-12,54.360001,55.939999,54.119999,55.860001,30.510864,5400000
2010-02-19,55.230000,55.860001,53.610001,54.810001,29.937340,7802000
2010-02-26,53.980000,56.880001,53.799999,56.060001,30.620096,6114100
2010-03-05,56.299999,58.130001,56.259998,58.060001,31.712507,6192400
2010-03-12,58.689999,60.259998,57.439999,59.750000,32.635582,5540700
2010-03-19,58.500000,59.320000,56.939999,56.939999,31.100775,6455800
2010-03-26,57.230000,59.029999,57.040001,58.959999,32.204086,5979700
2010-04-02,59.189999,59.639999,58.200001,59.310001,32.395256,5178700
2010-04-09,59.950001,61.930000,59.939999,61.770000,33.738934,6017900
2010-04-16,61.470001,61.900002,60.200001,61.119999,33.383888,6458900
2010-04-23,60.660000,62.790001,60.619999,61.689999,33.695221,16873200
2010-04-30,62.889999,63.110001,53.099998,55.590000,30.363398,15287700
2010-05-07,54.470001,57.080002,52.880001,55.119999,30.533510,13466000
2010-05-14,54.799999,54.959999,51.529999,52.669998,29.176329,13840600
2010-05-21,51.580002,53.049999,49.980000,53.009998,29.364679,13069500
2010-05-28,53.259998,54.320000,52.060001,54.060001,29.946325,9257500
2010-06-04,52.779999,52.950001,50.470001,52.349998,28.999073,14958100
2010-06-11,51.680000,54.849998,51.599998,54.759998,30.334080,9989200
2010-06-18,54.520000,55.490002,52.689999,52.830002,29.264963,13354600
2010-06-25,52.639999,53.570000,49.160000,49.529999,27.436943,13248900
2010-07-02,50.360001,53.340000,49.599998,53.320000,29.536404,7109200
2010-07-09,53.119999,55.950001,52.990002,55.840000,30.932352,7958200
2010-07-16,55.799999,56.009998,53.610001,55.869999,30.948952,8350000
2010-07-23,55.869999,56.990002,55.389999,55.980000,31.009893,7805500
2010-07-30,55.029999,58.599998,55.020000,57.700001,31.962683,8797100
2010-08-06,57.240002,58.389999,54.950001,55.400002,31.135218,7269600
2010-08-13,55.160000,56.430000,54.209999,54.459999,30.606937,5106100
