Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,4.910000,4.910000,4.860000,4.900000,4.900000,247400
2020-08-28,4.930000,4.930000,4.870000,4.910000,4.910000,312000
2020-08-31,4.860000,4.920000,4.840000,4.870000,4.870000,350300
2020-09-01,4.930000,5.000000,4.930000,4.960000,4.960000,185800
2020-09-02,4.950000,4.970000,4.770000,4.820000,4.820000,594700
2020-09-03,4.730000,4.770000,4.700000,4.730000,4.730000,628300
2020-09-04,4.710000,4.750000,4.670000,4.730000,4.730000,257100
2020-09-08,4.490000,4.550000,4.480000,4.510000,4.510000,696100
2020-09-09,4.550000,4.580000,4.540000,4.580000,4.580000,310800
2020-09-10,4.630000,4.640000,4.570000,4.580000,4.580000,142000
2020-09-11,4.710000,4.730000,4.670000,4.720000,4.720000,163000
2020-09-14,4.720000,4.740000,4.690000,4.700000,4.700000,160000
2020-09-15,4.830000,4.860000,4.800000,4.830000,4.830000,302600
2020-09-16,4.850000,4.880000,4.820000,4.860000,4.860000,128400
2020-09-17,4.830000,4.880000,4.820000,4.850000,4.850000,130300
2020-09-18,4.850000,4.850000,4.750000,4.750000,4.750000,237300
2020-09-21,4.600000,4.630000,4.550000,4.620000,4.620000,590900
